text,label
Last session of the day  http://twitpic.com/67ezh,spam
 Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,notspam
"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",spam
 happy bday!,notspam
 http://twitpic.com/4w75p - I like it!!,notspam
 that`s great!! weee!! visitors!,notspam
I THINK EVERYONE HATES ME ON HERE   lol,spam
" soooooo wish i could, but im in school and myspace is completely blocked",spam
 and within a short time of the last clue all of them,spam
 What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,spam
My bike was put on hold...should have known that.... argh total bummer,spam
 I checked.  We didn`t win,spam
 .. and you`re on twitter! Did the tavern bore you that much?,spam
"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",spam
Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,spam
"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",spam
 Miss you,spam
Cramps . . .,spam
 you guys didn`t say hi or answer my questions yesterday  but nice songs.,notspam
"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",spam
Stupid storm. No river for us tonight,spam
My dead grandpa pays more attention to me than you do,spam
"... need retail therapy, bad. AHHH.....gimme money geebus",spam
about to go to sleep,spam
 you are lame  go make me breakfast!!,spam
 thats so cool,notspam
"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",spam
"Huh, another ScarePoint coding Sunday",spam
 look who I found just for you  --->  http://twitter.com/DJT2009,notspam
"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",spam
 guess that depends on if you want to be on the jury,spam
resorted to eating Mickey Ds ALONE.,spam
"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",spam
 did he ask for your Twitter ID? Your sun sign?,spam
 where`d you go!,spam
Watching Body of Lies...good film,notspam
Happy mothers day mumm  xoxo,notspam
So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,spam
 I`m sorry  at least it`s Friday?,spam
"feels sorry every time I`m printing out, I use like 200 new papers",spam
 4n? ma rog  never heard of it  esti beat acum? u tweet too much,spam
 I always forget SOMETHING when I travel. I am at Newark airport.,spam
Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,spam
i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,spam
" Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",notspam
  Hope ur havin fun in da club,notspam
i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,spam
thinks SG is wonderful,notspam
  im really sorry i know wallah how u feel this life is shittttttttt,spam
Not happy,spam
Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,spam
 I`ll oscillate from one to the other.,spam
I`m so very tired...and have insomnia.,spam
 Thanks Ennio,notspam
 you should totally come get me and bring me to kelslaws house with you.,spam
" You seem nice, you`re generous and you know your stuff",notspam
 U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,spam
almost got a kitty yesterday...but it didn`t work out,spam
"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",spam
