id,sentiment,text,user,label
0,positive,RT @SchudioTv: Want to know more about #autism and #anxiety? Watch this short clip below...\n\nClick here to enrol ➡️ https://t.co/nTSj2BRt47…,beyondbehaviour,anxiety
1,negative,We blame ourselves and feel worse. Start with self-compassion. We deserve it. 💜\n\n#SelfLoveIsTheBestLove #selflove… https://t.co/FPYRZHdCEr,cherie7c,anxiety
2,positive,"RT @PsychiatristCNS: 130,000 patient years and the diagnostic stability of #BipolarDisorder: Study finds frequent dx shifts related to BD,…",ThinkNeha,anxiety
3,neutral,RT @SkypeTherapist: See a therapist online over Skype - Learn How to Overcome #Anxiety &amp; #Depression without meds. Go to: https://t.co/IMM0…,FrankCoulson7,anxiety
4,positive,"RT @PsychiatristCNS: 130,000 patient years and the diagnostic stability of #BipolarDisorder: Study finds frequent dx shifts related to BD,…",Phcourtet,anxiety
5,neutral,The onset of the #pandemic &amp; #WFH has led to an increasing number of cases of #heartburn &amp; acid reflux. Majority of… https://t.co/tYHPcNjdi0,ajhospitalmng,anxiety
6,neutral,#Climate change is concerning. \n\nThese can create #climateanxiety for some people.\n\nThere are actions you can take… https://t.co/2lNfzYc1S8,585Mentalhealth,anxiety
7,positive,"130,000 patient years and the diagnostic stability of #BipolarDisorder: Study finds frequent dx shifts related to B… https://t.co/c8YsBvSald",PsychiatristCNS,anxiety
8,neutral,Looking for online counseling via Skype? Skype counseling for help with anxiety &amp; depression. Go to:… https://t.co/cjcnsOjDwd,SkypeTherapist,anxiety
9,neutral,RT @JonnyCleanPick: Just sharing my thoughts😊 @rtArtBoost @_lgtwo @RTtheBEST #Trending #MyHeroAcademia #anxiety  #fear https://t.co/dNAkhCm…,TrioMinutes,anxiety
10,neutral,RT @SkypeTherapist: Looking for online therapy for panic anxiety attacks? Online #Mindfulness Therapy for Overcoming Panic Attacks and Chro…,FrankCoulson7,anxiety
11,positive,#HYPNOTHERAPY \nSupportive Confidential Help with:\n#Anxiety #Panic #Fears #Phobias #WeightManagement\n#Childhood &amp;… https://t.co/1VRNCAeZ6f,TendringMag,anxiety
12,neutral,RT @ChemicalLoche: 😍 https://t.co/UroeGVrcqZ\n\n😎 #prescribedforuslove #women #chemicalloche #clothing #croptop #alloverprint #mentalhealthaw…,natrellabot,anxiety
13,neutral,Talk to a Buddhist Therapist Online via Skype for help recovering from #anxiety &amp; #depression using #mindfulness th… https://t.co/DaSKOfyHn1,SkypeTherapist,anxiety
14,negative,"We are still inside buildings and often in small unventilated rooms … tight corridors, again unventilated  :( #covid #anxiety",Diana_Stirbu,anxiety
15,neutral,"#stress #anxiety #phobias #self-help  302 coping skills, a Stress Management Plan AND a Stress Management Kit provi… https://t.co/DKHSW2m7E0",BackyardBooks,anxiety
16,positive,"Many of us are likely to feel anxious or stressed at work occasionally, however, if your anxiety is constant or inc… https://t.co/wHyHcWRgCq",shawmind_,anxiety
17,neutral,Looking for online therapy for panic anxiety attacks? Online #Mindfulness Therapy for Overcoming Panic Attacks and… https://t.co/khgxx1t3JB,SkypeTherapist,anxiety
18,neutral,How to Deal with Workplace Stress?\n\nExploring Welfare at Work https://t.co/021NkvZjr2\n\n#stress #anxiety #depression… https://t.co/jM2lyEVSnX,ProfileTreeFR,anxiety
19,positive,"RT @Kirsty832: My anxiety always makes me very self critical, so positive affirmations and self validation is something I’m learning to do…",KeikoSledge,anxiety
20,positive,RT @BipolarAletheia: Woke up to this email. Thanks to everyone who reached out. #mentalhealth #bipolar #anxiety #OCD https://t.co/lU9v91hejJ,StephenOWC33,anxiety
21,neutral,😍 https://t.co/UroeGVrcqZ\n\n😎 #prescribedforuslove #women #chemicalloche #clothing #croptop #alloverprint… https://t.co/RiBJIE0fJP,ChemicalLoche,anxiety
22,positive,"“I found a cure for my anxiety. It turns out, all I need is for everyone to tell me they’re not mad at me every fif… https://t.co/sRifl6A6I5",DJinadev,anxiety
23,neutral,Skype Therapy using mindfulness for overcoming #Anxiety and #Depression and #Addiction without depending on drugs.… https://t.co/nRQRjG9hm1,SkypeTherapist,anxiety
24,neutral,#MentalHealthMatters\n#Mentalhealth #Therapy #Psychotherapy #Therapist #Anxiety #Visitmhp #terriblytinytales #TTT https://t.co/YJKtGRnDHm,purohit_sanjna,anxiety
25,positive,"RT @BravoEmpath: Is this the most #MentalHealth +ve\n #BelowDeck Crew?\n#Anxiety\n@KatieFlood25: Conflict,Amicability\n@Mathewshea: Confidence,…",BravoEmpath,anxiety
